name,reviewTitle
Kamal U.,null
yofanca m.,null
Lazada Customer,ok mantaaapppp barang sesuai pesanan.. good
Lazada Customer,null
Yosep M.,null
Deden,null
Yeana,null
nurfarida,ada pengirimn ntb bima
Fadjar B.
agung p.,Barang bagus sesuai specs
Hendra W.,null
Lazada Guest,Ini cicil pake apa?
Yan M.,Beli cash sesuai Harga di atas
Andry M.,Pesanan tidak tepat waktu
Leonard,TV ok
Lazada Guest,Cara mendapatkan garansi
Bun D.,null
Fadoli,Sharp HD LED TV 24" - LC-24LE175I - Hitam
Akun K.,null
rina,pengiriman nya laaamaaaaa
Ega,barangnya sangat bagus. dan cepat juga. thank you lazada
Lazada Guest,Menanyakn cara ciciln
Fitriyansah E.,Lima Bintang
Lazada Guest,Bagusss
Lazada Customer,null